scenario_id,intended_class,intended_uncertainty,intended_potential_harm,intended_irreversibility,intended_time_pressure,raw_uncertainty,raw_potential_harm,raw_irreversibility,raw_time_pressure,collapse_pattern_all4,collapse_pattern_core3,raw_matches_intended_class,status,notes
MOC-001,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,mixed,core3_all_MEDIUM,False,ok,low-risk routine; non-preserve cues
MOC-002,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,mixed,core3_mixed,False,ok,low-risk routine; non-preserve (adjust/config/monitoring)
MOC-003,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,False,ok,low-risk; non-preserve (roll back/flag/verify)
MOC-004,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,False,ok,low-risk; non-preserve (temporarily/revert)
MOC-005,HIGH,MEDIUM,HIGH,HIGH,LOW,LOW,MEDIUM,HIGH,LOW,mixed,core3_mixed,True,ok,high-risk; preserve (permanently/delete)
MOC-006,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,False,ok,low-risk; non-preserve (threshold/verify)
MOC-007,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,all_MEDIUM,core3_all_MEDIUM,False,ok,high-risk; preserve (purge)
MOC-008,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,False,ok,low-risk; non-preserve (recalibrate/a/b test/rollback)
MOC-009,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,mixed,core3_all_MEDIUM,False,ok,high-risk; preserve (wipe/all)
MOC-010,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,mixed,core3_mixed,False,ok,low-risk human service; preserve (all users) but reversible notification
MOC-011,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,True,ok,medium-risk; preserve (all platform users/default)
MOC-012,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MEDIUM,HIGH,LOW,mixed,core3_mixed,True,ok,high-risk; preserve (permanently/delete)
MOC-013,HIGH,HIGH,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,mixed,core3_mixed,True,ok,high-risk; preserve (opt-in/all users)
MOC-014,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,True,ok,medium-risk; non-preserve (adjust/monitoring)
MOC-015,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,False,ok,low-risk; non-preserve (temporarily/revert)
MOC-016,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,mixed,core3_mixed,False,ok,high-risk; preserve (all users/compliance/legal/specific)
MOC-017,HIGH,HIGH,HIGH,HIGH,LOW,MEDIUM,HIGH,HIGH,MEDIUM,mixed,core3_mixed,True,ok,high-risk; strong preserve (data sharing/all platform users/consent/opt-in adjacent)
MOC-018,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,mixed,core3_mixed,False,ok,low-risk; non-preserve (roll back/config/verify)
MOC-019,HIGH,HIGH,HIGH,HIGH,LOW,MEDIUM,HIGH,HIGH,MEDIUM,mixed,core3_mixed,True,ok,high-risk; preserve (delete/production)
MOC-020,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,False,ok,low-risk; non-preserve (verify/reversible)
MOC-021,HIGH,HIGH,HIGH,HIGH,LOW,MEDIUM,HIGH,HIGH,MEDIUM,mixed,core3_mixed,True,ok,high-risk; preserve (permanently/decommission)
MOC-022,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,mixed,core3_mixed,False,ok,low-risk; non-preserve (adjust/monitoring)
MOC-023,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,False,ok,high-risk; preserve (wipe/all/globally)
MOC-024,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,True,ok,medium-risk; non-preserve (temporarily/maintenance window)
MOC-025,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MEDIUM,HIGH,LOW,mixed,core3_mixed,True,ok,high-risk; preserve (destroy/all)
MOC-026,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,False,ok,low-risk; non-preserve (tune/rollback)
MOC-027,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,mixed,core3_mixed,True,ok,high-risk; preserve (all)
MOC-028,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,all_MEDIUM,core3_all_MEDIUM,True,ok,medium-risk; non-preserve (temporarily/auto-restore)
MOC-029,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,mixed,core3_mixed,True,ok,high-risk; preserve (all)
MOC-030,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,mixed,core3_mixed,True,ok,high-risk; preserve (permanently/delete/all)
MOC-031,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,True,ok,medium-risk; non-preserve (time-bound/elevated)
MOC-032,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,mixed,core3_mixed,True,ok,medium-risk; non-preserve (reversible/preserve logs)
MOC-033,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,mixed,core3_mixed,True,ok,medium-risk; non-preserve (roll back/verify)
MOC-034,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,mixed,core3_mixed,True,ok,high-risk; preserve (all users)
MOC-035,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,mixed,core3_all_HIGH,True,ok,high-risk; preserve (specific targeting)
MOC-036,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,True,ok,medium-risk; non-preserve (temporarily/threshold/audit logging)
MOC-037,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,mixed,core3_mixed,True,pipeline_failed,high-risk; preserve (permanently)
MOC-038,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,HIGH,LOW,HIGH,mixed,core3_mixed,False,ok,low-risk; non-preserve (roll back/a/b test)
MOC-039,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,mixed,core3_mixed,True,ok,high-risk; strong preserve (delete/all/across the platform/specific)
