scenario_id,proposed_action,posture,uncertainty,potential_harm,irreversibility,time_pressure,context_tag,use_domain,rationale,affected_groups,distribution_of_impact,benefit_distribution,population_vulnerability_flag,consent_status,consent_scope,participation_type,participation_information_quality,drop_fields,expected_phase3,expected_trace_hints,notes
P01_Clean_Pass_AllLow,Baseline routine health check,PROCEED,LOW,LOW,LOW,LOW,ROUTINE,ROUTINE_OPERATION,PROCEED baseline UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=ROUTINE_OPERATION,GENERAL_POPULATION,UNIFORM_OR_PROPORTIONAL,BENEFIT_GENERAL_OR_NEUTRAL,NONE,EXPLICIT_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,CLEAR_AND_COMPREHENSIVE,,ETHICAL_PASS,all=PASS,Clean PASS control: all-low inputs with full clean atomic set
P02_Clean_Pass_HumanService,Process routine user profile update request,PROCEED,LOW,LOW,LOW,LOW,HUMAN_AFFECTING,HUMAN_SERVICE,PROCEED human-service baseline UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=HUMAN_SERVICE,GENERAL_POPULATION,UNIFORM_OR_PROPORTIONAL,BENEFIT_GENERAL_OR_NEUTRAL,NONE,EXPLICIT_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,CLEAR_AND_COMPREHENSIVE,,ETHICAL_PASS,all=PASS,Clean PASS under HUMAN_AFFECTING + LOW harm
P03_Clean_Pass_External,Synchronize configuration with external telemetry service,PROCEED,LOW,LOW,LOW,LOW,EXTERNAL_SYSTEM,EXTERNAL_SYSTEM_CONTROL,PROCEED external-system baseline UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=EXTERNAL_SYSTEM_CONTROL,GENERAL_POPULATION,UNIFORM_OR_PROPORTIONAL,BENEFIT_GENERAL_OR_NEUTRAL,NONE,EXPLICIT_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,CLEAR_AND_COMPREHENSIVE,,ETHICAL_PASS,all=PASS,Clean PASS under EXTERNAL_SYSTEM with bounded uncertainty
P04_Clean_Pass_MediumHarmLowIrrev,Apply routine service-tier adjustment for active accounts,PROCEED,LOW,MEDIUM,LOW,LOW,ROUTINE,HUMAN_SERVICE,PROCEED service-tier UNCERTAINTY=LOW POTENTIAL_HARM=MEDIUM IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=HUMAN_SERVICE,GENERAL_POPULATION,UNIFORM_OR_PROPORTIONAL,BENEFIT_GENERAL_OR_NEUTRAL,NONE,EXPLICIT_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,CLEAR_AND_COMPREHENSIVE,,ETHICAL_PASS,all=PASS,Non-trivial PASS: MEDIUM harm with LOW irrev keeps EC-01/02/03/07/08/12 below thresholds
A01_EC04_06_09_AllAtomicBlank,Roll out general platform update,PROCEED,LOW,LOW,LOW,LOW,ROUTINE,ROUTINE_OPERATION,PROCEED rollout UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=ROUTINE_OPERATION,,,,,,,,,,ETHICAL_AMBIGUITY_HUMAN_REVIEW_REQUIRED,EC-04=AMBIGUITY;EC-06=AMBIGUITY;EC-09=AMBIGUITY,All 8 atomic fields blank; all three atomic-dependent ECs enter missing branch
A02_EC04_BlankDistImpact,Route new requests through updated pipeline,PROCEED,LOW,LOW,LOW,LOW,ROUTINE,ROUTINE_OPERATION,PROCEED pipeline UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=ROUTINE_OPERATION,GENERAL_POPULATION,,BENEFIT_GENERAL_OR_NEUTRAL,NONE,EXPLICIT_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,CLEAR_AND_COMPREHENSIVE,,ETHICAL_AMBIGUITY_HUMAN_REVIEW_REQUIRED,EC-04=AMBIGUITY;EC-06=PASS;EC-09=PASS,Isolated EC-04 AMBIGUITY: only distribution_of_impact blank; EC-06 and EC-09 atomic fields fully valid (vuln=NONE; full consent triple)
A03_EC04_06_Co_BlankVulnFlag,Apply safety reminder notification to enrolled accounts,PROCEED,LOW,LOW,LOW,LOW,ROUTINE,ROUTINE_OPERATION,PROCEED reminder UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=ROUTINE_OPERATION,GENERAL_POPULATION,UNIFORM_OR_PROPORTIONAL,BENEFIT_GENERAL_OR_NEUTRAL,,EXPLICIT_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,CLEAR_AND_COMPREHENSIVE,,ETHICAL_AMBIGUITY_HUMAN_REVIEW_REQUIRED,EC-04=AMBIGUITY;EC-06=AMBIGUITY;EC-09=PASS,Shared-field coupling: population_vulnerability_flag is a required_key in both EC-04 and EC-06; blanking it triggers missing-branch AMBIGUITY in both evaluators; EC-09 remains PASS
A04_EC09_BlankConsent,Enable new sharing feature for user accounts,PROCEED,LOW,LOW,LOW,LOW,ROUTINE,ROUTINE_OPERATION,PROCEED sharing UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=ROUTINE_OPERATION,GENERAL_POPULATION,UNIFORM_OR_PROPORTIONAL,BENEFIT_GENERAL_OR_NEUTRAL,NONE,,,,,,ETHICAL_AMBIGUITY_HUMAN_REVIEW_REQUIRED,EC-04=PASS;EC-06=PASS;EC-09=AMBIGUITY,Isolated EC-09 AMBIGUITY: consent_status/consent_scope/participation_type all blank; EC-04 and EC-06 atomic fields fully valid
A05_EC09_ImplicitConsent,Continue data sharing under existing bundled terms,PROCEED,LOW,LOW,LOW,LOW,ROUTINE,ROUTINE_OPERATION,PROCEED bundled-terms UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=ROUTINE_OPERATION,GENERAL_POPULATION,UNIFORM_OR_PROPORTIONAL,BENEFIT_GENERAL_OR_NEUTRAL,NONE,IMPLICIT_OR_BUNDLED_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,PARTIAL_OR_COMPLEX,,ETHICAL_AMBIGUITY_HUMAN_REVIEW_REQUIRED,EC-04=PASS;EC-06=PASS;EC-09=AMBIGUITY,Valid-but-weak signal: implicit or bundled consent produces EC-09 AMBIGUITY via in-spec path
F01_EC04_FAIL_Disproportionate,Roll back benefit eligibility for a subset of accounts,PROCEED,LOW,LOW,LOW,LOW,ROUTINE,ROUTINE_OPERATION,PROCEED rollback UNCERTAINTY=LOW POTENTIAL_HARM=LOW IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=ROUTINE_OPERATION,PROTECTED_OR_HISTORICALLY_DISADVANTAGED_GROUP,DISPROPORTIONATE_IMPACT_ON_DISADVANTAGED,BENEFIT_TO_UNINVOLVED_OR_MORE_POWERFUL_GROUPS,NONE,EXPLICIT_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,CLEAR_AND_COMPREHENSIVE,,ETHICAL_FAIL_CONSTRAINT_VIOLATION,EC-04=FAIL,EC-04 explicit FAIL on DISPROPORTIONATE_IMPACT_ON_DISADVANTAGED
F02_EC06_FAIL_VulnMedHarm,Deliver routine account reminder to enrolled cohort,PROCEED,LOW,MEDIUM,LOW,LOW,ROUTINE,HUMAN_SERVICE,PROCEED reminder UNCERTAINTY=LOW POTENTIAL_HARM=MEDIUM IRREVERSIBILITY=LOW TIME_PRESSURE=LOW USE_DOMAIN=HUMAN_SERVICE,SPECIFIC_SUBGROUP,UNIFORM_OR_PROPORTIONAL,BENEFIT_TO_AFFECTED_GROUPS,CLEARLY_VULNERABLE,EXPLICIT_CONSENT,WITHIN_DECLARED_SCOPE,VOLUNTARY_OPT_IN,CLEAR_AND_COMPREHENSIVE,,ETHICAL_FAIL_CONSTRAINT_VIOLATION,EC-06=FAIL,EC-06 explicit FAIL: CLEARLY_VULNERABLE + MEDIUM harm; context=ROUTINE and irrev=LOW keep EC-01/03/07/08 PASS
